,Hotel,Ubicacion,Direccion,Estrellas,Longitud,Latitud
64,Hotel Centro Recreacional Wanakawri,"Cusco a 6,73 km del centro","Calle Romeritos, s/n - Fundo Buenavista, Cusco , Cusco (Peru)",3,-71.97539,-13.5191
65,Misters Inkas Hotel Inn Palace Exclusive,"Cusco a 0,5 km del centro","Av. Tullumayo, 548, Cusco Cusc01, Cusco (Peru)",3,-71.97379,-13.51987
66,Belmond Hotel Monasterio Cusco,"Cusco a 0,19 km del centro","Calle Palacio 140, Plazoleta Nazarenas, Cusco Plazoleta, Cusco (Peru)",5,-71.97709,-13.51515
67,Hotel Del Prado Inn,"Cusco a 0,14 km del centro","Calle Suecia 310, Cusco 084, Cusco (Peru)",3,-71.9789,-13.51568
68,Albergue Pirwa Backpackers Colonial,"Cusco a 0,19 km del centro","Plaza San Francisco 360, Cusco Cusc 01, Cusco (Peru)",-1,-71.8895,-13.54098
69,Hotel Casa De Mama Cusco 2,"Cusco a 1,52 km del centro","Av. Infancia 548, Cusco Cusc 01, Cusco (Peru)",3,-71.96854,-13.5282
70,Hotel Inkaterra La Casona,"Cusco a 0,76 km del centro","Plaza Las Nazarenas, 113, Cusco , Cusco (Peru)",4,-71.97853,-13.51644
71,Hotel Sonesta Posada Del Inca Sacred Valley,"Cusco a 1,12 km del centro","Plaza Manco II 123, Yucay, Cusco 084, Cusco (Peru)",3,-72.08841,-13.31729
72,Hotel Polo Cusco Suites,"Cusco a 1,46 km del centro","Av. San Martín 404, Cusco 051, Cusco (Peru)",3,-71.97008,-13.52925
73,Hotel Polo Corporativo,"Cusco a 1,72 km del centro","Av. Infancia Nro. 156, Cusco , Cusco (Peru)",1,-71.96854,-13.52804
74,Hotel & Mirador Los Apus,"Cusco a 0,31 km del centro","Calle Atocsaycuchi 515, Cusco None, Cusco (Peru)",3,-71.97622,-13.51343
75,Hotel San Juan De Dios,"Cusco a 1,72 km del centro","Av. Manzanares 264, Cusco 5184, Cusco (Peru)",2,-71.95334,-13.52317
76,Hotel Plaza De Armas,"Cusco a 7529,02 km del centro","Portal Mantas 114, Cusco Cusco, Cusco (Peru)",4,-71.9782,-13.52556
77,Bed & Breakfast Second Home Cusco,"Cusco a 0,4 km del centro","Atocsaycuchi 616, Cusco , Cusco (Peru)",-1,-71.96909,-13.52914
78,Hotel Kenamari,"Cusco a 0,79 km del centro","Av. Pardo 769-B, Cusco 001, Cusco (Peru)",3,-71.97507,-13.52336
79,Hotel Casona Les Pleiades,"Cusco a 0,36 km del centro","C/ Tandapata, 116, Cusco Cusc 01, Cusco (Peru)",2,-71.9745,-13.51413
80,Hotel La Morada Suites,"Cusco a 0,4 km del centro","Kurkurpata 230, Cusco 84, Cusco (Peru)",3,-71.97314,-13.51487
81,Hotel El Mirador De Santa Ana,"Cusco a 0,54 km del centro","Av. La Raza N° 887 , Cusco Cusco 01, Cusco (Peru)",-1,-71.97852,-13.51643
82,Amaru Hostal I,"Cusco a 0,32 km del centro","Cuesta San Blas, 541, Cusco 84, Cusco (Peru)",-1,-71.9753,-13.51544
83,NiÃ±os Hotel Fierro,"Cusco a 0,4 km del centro","Calle Fierro 476 Cusco, Cusco , Cusco (Peru)",2,-71.98568,-13.51712
84,Hotel Golden Inca,"Cusco a 0,66 km del centro","Calle Retiro 435, Cusco 08003, Cusco (Peru)",3,-71.96789,-13.52543
85,Hostal Atlantis,"Cusco a 0,56 km del centro","Av. Lucrepata D1, Cusco 084, Cusco (Peru)",-1,-71.9652,-13.51543
86,Hotel Antawasi,"Cusco a 0,56 km del centro","C/ Inticcahuarina, 621 - 084, Cusco 084, Cusco (Peru)",2,-71.96173,-13.51668
87,Hotel Best Western Los Andes De America,"Cusco a 0,1 km del centro","C/ Garcilaso, 150, Cusco 84, Cusco (Peru)",3,-71.95575,-13.53223
88,Hotel Costa Del Sol Ramada Cusco,"Cusco a 0,14 km del centro","Calle Santa Teresa 344, Cusco, Cusco Cusco, Cusco (Peru)",4,-71.98095,-13.51629
89,Hotel Jose Antonio Cusco,"Cusco a 1,08 km del centro","Av. Pardo 1080, Cusco 00001, Cusco (Peru)",4,-71.97341,-13.52538
90,Hotel Ruinas,"Cusco a 0,21 km del centro","C/ Ruinas, 472, Cusco 1, Cusco (Peru)",3,-71.97554,-13.51644
91,Atiq Hotel Boutique,"Cusco a 0,6 km del centro","Av. El Sol 613, Cusco 84, Cusco (Peru)",4,-71.97564,-13.52152
92,El Mercado Hotel,"Cusco a 0,23 km del centro","Calle Siete Cuartones 306, Cusco Cusc01, Cusco (Peru)",4,-71.98241,-13.51634
93,Hotel San Agustin Plaza,"Cusco a 0,63 km del centro","Avenida El Sol 594, Cusco 84, Cusco (Peru)",3,-71.97584,-13.52135
94,Bed & Breakfast Wake Up Cusco,"Cusco a 0,29 km del centro","Calle Tambo de Montero 219-A, Cusco , Cusco (Peru)",-1,-71.98282,-13.51506
95,Hotel Abittare,"Cusco a 0,41 km del centro","Plazoleta Santo Domingo 263, Cusco 084, Cusco (Peru)",-1,-71.97552,-13.51986
96,Hostal Marlon's House Cusco,"Cusco a 0,34 km del centro","Calle: Nueva Baja 496, Cusco , Cusco (Peru)",-1,-71.98364,-13.51819
97,Hotel Unumizu,"Cusco a 0,92 km del centro","Av. Huayna Cápac, 210, Cusco 051 84, Cusco (Peru)",3,-71.96975,-13.52301
98,San Francisco Plaza Hotel,"Cusco a 0,35 km del centro","Calle Ceniza 147, Cusco 084, Cusco (Peru)",3,-71.98402,-13.51789
99,Apartamento Ayenda Monasterio Del Inka,"Cusco a 0,17 km del centro","Calle Herrajes con Pasaje Inca Roca 116, Cusco , Cusco (Peru)",-1,-71.97653,-13.51617
100,Hotel Rumi Wasi,"Cusco a 0,33 km del centro","Calle Suecia 499, Cusco Cusc 01, Cusco (Peru)",-1,-71.98031,-13.51415
101,Hotel Q'armenq'a,"Cusco a 0,48 km del centro","Calle Puente del Rosario 128, Cusco Cusco, Cusco (Peru)",3,-71.97664,-13.52092
